%
% index = 1889, name = bbob_f006_i21_d10__bbob_f015_i22_d10
% instance = 10, reference value = 9.484335520622430e-001
% function evaluation | indicator value | target hit
1	8.882538424332011e-001	8.912509381337456e-001
2	7.131131559707920e-001	7.244359600749900e-001
3	7.037985773163982e-001	7.079457843841379e-001
7	6.338351437628913e-001	6.456542290346555e-001
9	6.279463429913590e-001	6.309573444801933e-001
23	5.885716454993817e-001	5.888436553555889e-001
27	5.587107327063809e-001	5.623413251903491e-001
28	5.309615959650227e-001	5.370317963702527e-001
37	3.827037508152091e-001	3.890451449942806e-001
38	3.674695243648817e-001	3.715352290971726e-001
51	3.612033189781729e-001	3.630780547701014e-001
85	3.397229637107311e-001	3.467368504525316e-001
108	3.276553672208978e-001	3.311311214825911e-001
135	3.206734721411916e-001	3.235936569296283e-001
270	3.122516197924633e-001	3.162277660168379e-001
278	3.086564974809026e-001	3.090295432513591e-001
300	3.013300647293495e-001	3.019951720402016e-001
462	2.640148990215132e-001	2.691534803926916e-001
559	2.529576827511021e-001	2.570395782768864e-001
822	2.461006936252962e-001	2.511886431509580e-001
913	2.448581170311197e-001	2.454708915685031e-001
919	2.368749530630084e-001	2.398832919019490e-001
992	2.325306471912623e-001	2.344228815319922e-001
1469	2.221944063098258e-001	2.238721138568340e-001
1493	2.155017210334029e-001	2.187761623949552e-001
1530	2.096275126934492e-001	2.137962089502232e-001
2141	2.077753062926575e-001	2.089296130854039e-001
2541	1.995696213813205e-001	2.041737944669530e-001
2966	1.916232967664073e-001	1.949844599758046e-001
3449	1.886032299817462e-001	1.905460717963247e-001
3615	1.829004359385704e-001	1.862087136662868e-001
3964	1.759449029018457e-001	1.778279410038923e-001
4097	1.714644847335815e-001	1.737800828749375e-001
4234	1.685681444967264e-001	1.698243652461744e-001
8998	1.659167344596708e-001	1.659586907437561e-001
9654	1.605268697214081e-001	1.621810097358930e-001
15167	1.575001403883264e-001	1.584893192461113e-001
16311	1.499581118413592e-001	1.513561248436208e-001
21724	1.425807488354672e-001	1.445439770745928e-001
23932	1.386385698274916e-001	1.412537544622755e-001
25268	1.372656385744234e-001	1.380384264602885e-001
32536	1.344699047953665e-001	1.348962882591654e-001
51587	1.301450015679948e-001	1.318256738556407e-001
58636	1.259269587232018e-001	1.288249551693134e-001
64721	1.219807027483491e-001	1.230268770812382e-001
73533	1.198887064740780e-001	1.202264434617413e-001
103163	1.174457147673618e-001	1.174897554939529e-001
119600	1.132983600166954e-001	1.148153621496883e-001
124816	1.100922826654569e-001	1.122018454301964e-001
145640	1.070834725600240e-001	1.071519305237607e-001
179243	1.043875180612570e-001	1.047128548050900e-001
234064	1.020732610960609e-001	1.023292992280754e-001
261019	9.987140367186909e-002	1.000000000000000e-001
352534	9.716091740369115e-002	9.772372209558107e-002
379414	9.495227017211949e-002	9.549925860214359e-002
432656	9.294636343708884e-002	9.332543007969910e-002
545475	8.978594783512994e-002	9.120108393559097e-002
664470	8.906644090341664e-002	8.912509381337455e-002
1039631	8.642818628945148e-002	8.709635899560805e-002
1340581	8.499894742978076e-002	8.511380382023763e-002
1696273	8.256897258936347e-002	8.317637711026708e-002
2332776	8.051117082130632e-002	8.128305161640990e-002
2557511	7.891415331928131e-002	7.943282347242814e-002
2795708	7.751434008716152e-002	7.762471166286916e-002
3508329	7.559116109791531e-002	7.585775750291836e-002
4517076	7.309547357600843e-002	7.413102413009177e-002
5519896	7.168364627600310e-002	7.244359600749903e-002
5540206	7.071632603605482e-002	7.079457843841380e-002
7015723	6.852131874654099e-002	6.918309709189366e-002
10000000	6.778865202661744e-002	6.918309709189366e-002
%
% index = 1880, name = bbob_f006_i02_d10__bbob_f015_i04_d10
% instance = 1, reference value = 9.547850883083140e-001
% function evaluation | indicator value | target hit
1	4.408026409174749e+000	4.466835921509632e+000
4	1.255687750193882e+000	1.258925411794167e+000
10	8.925923501187144e-001	9.120108393559098e-001
37	6.866443718728946e-001	6.918309709189364e-001
38	6.362673617876178e-001	6.456542290346555e-001
183	5.974052206059319e-001	6.025595860743578e-001
199	4.351035026171084e-001	4.365158322401660e-001
2081	4.071120697891868e-001	4.073802778041127e-001
2431	3.978196429837397e-001	3.981071705534973e-001
5253	3.830189110058412e-001	3.890451449942806e-001
9686	3.722826454575968e-001	3.801893963205612e-001
15801	3.693840393338241e-001	3.715352290971726e-001
15949	3.532071926992433e-001	3.548133892335755e-001
29299	3.465714083505124e-001	3.467368504525316e-001
38945	3.314306292378788e-001	3.388441561392026e-001
91055	3.230265809292982e-001	3.235936569296283e-001
105462	3.089242479803063e-001	3.090295432513591e-001
128398	2.967816551562402e-001	3.019951720402016e-001
130219	2.905382741235899e-001	2.951209226666385e-001
181490	2.877318572706483e-001	2.884031503126606e-001
225970	2.805550611072728e-001	2.818382931264454e-001
340842	2.753515897557538e-001	2.754228703338166e-001
385963	2.633553664632506e-001	2.691534803926916e-001
412349	2.622171859262035e-001	2.630267991895382e-001
453974	2.541738666346984e-001	2.570395782768864e-001
573104	2.465384344239313e-001	2.511886431509580e-001
591165	2.442625364686872e-001	2.454708915685031e-001
611193	2.308955874675083e-001	2.344228815319922e-001
919996	2.290562300753413e-001	2.290867652767773e-001
954552	2.230130733407582e-001	2.238721138568340e-001
1531246	2.167693962341741e-001	2.187761623949552e-001
1921318	2.137476542715111e-001	2.137962089502232e-001
2778951	2.084512923854076e-001	2.089296130854039e-001
3443088	2.031531478139017e-001	2.041737944669530e-001
4444931	1.856010996437729e-001	1.862087136662868e-001
5350693	1.818138397122737e-001	1.819700858609984e-001
7272520	1.733724825149640e-001	1.737800828749375e-001
8571352	1.692647511029357e-001	1.698243652461744e-001
9099647	1.658017153644825e-001	1.659586907437561e-001
10000000	1.657198779183169e-001	1.659586907437561e-001
%
% index = 1881, name = bbob_f006_i03_d10__bbob_f015_i05_d10
% instance = 2, reference value = 8.978659582209160e-001
% function evaluation | indicator value | target hit
1	2.383047417344523e+000	2.398832919019490e+000
2	1.644006367519916e+000	1.659586907437561e+000
3	9.674769398950903e-001	9.772372209558107e-001
5	8.862413845449949e-001	8.912509381337456e-001
24	6.125145031864696e-001	6.165950018614822e-001
34	5.757058896351452e-001	5.888436553555889e-001
40	5.700163429832732e-001	5.754399373371569e-001
42	5.042124478404817e-001	5.128613839913648e-001
43	4.606112340029666e-001	4.677351412871982e-001
48	4.520577990320634e-001	4.570881896148750e-001
301	4.439681229015002e-001	4.466835921509632e-001
2194	4.358588586390651e-001	4.365158322401660e-001
2448	4.252515730705229e-001	4.265795188015927e-001
2725	3.997857091051330e-001	4.073802778041127e-001
2770	3.967546455117432e-001	3.981071705534973e-001
4047	3.868673618493104e-001	3.890451449942806e-001
6161	3.767111255359219e-001	3.801893963205612e-001
10854	3.709649983708870e-001	3.715352290971726e-001
16211	3.618323184261071e-001	3.630780547701014e-001
17792	3.447333054410914e-001	3.467368504525316e-001
19888	3.387676582883007e-001	3.388441561392026e-001
24721	3.284460196048034e-001	3.311311214825911e-001
28262	3.220110631435026e-001	3.235936569296283e-001
30375	3.142450655528349e-001	3.162277660168379e-001
44351	3.082259904246705e-001	3.090295432513591e-001
69882	2.993852324321796e-001	3.019951720402016e-001
96482	2.876926163455228e-001	2.884031503126606e-001
114652	2.799983235423472e-001	2.818382931264454e-001
181719	2.739532447426254e-001	2.754228703338166e-001
202857	2.672382443442942e-001	2.691534803926916e-001
211484	2.574325374233341e-001	2.630267991895382e-001
223393	2.566319048534539e-001	2.570395782768864e-001
283020	2.463789894572817e-001	2.511886431509580e-001
325526	2.434338712406374e-001	2.454708915685031e-001
340102	2.346889372258506e-001	2.398832919019490e-001
344852	2.340918746020858e-001	2.344228815319922e-001
611549	2.287002333709322e-001	2.290867652767773e-001
727658	2.238480563056422e-001	2.238721138568340e-001
871056	2.179929696964950e-001	2.187761623949552e-001
915868	2.137251382487150e-001	2.137962089502232e-001
1298025	2.079304219633645e-001	2.089296130854039e-001
2718317	2.024527789521473e-001	2.041737944669530e-001
3796317	1.991593479301272e-001	1.995262314968880e-001
4743836	1.949843627222118e-001	1.949844599758046e-001
5995673	1.873365434279445e-001	1.905460717963247e-001
6012797	1.861649604305786e-001	1.862087136662868e-001
7943933	1.819600882294375e-001	1.819700858609984e-001
10000000	1.805314906618784e-001	1.819700858609984e-001
%
% index = 1882, name = bbob_f006_i07_d10__bbob_f015_i08_d10
% instance = 3, reference value = 9.114476300791680e-001
% function evaluation | indicator value | target hit
1	3.322728995949168e+000	3.388441561392026e+000
2	1.076739838665168e+000	1.096478196143185e+000
7	7.621765707971150e-001	7.762471166286917e-001
83	7.393311292743310e-001	7.413102413009175e-001
166	6.949352401557717e-001	7.079457843841379e-001
189	6.899384745907472e-001	6.918309709189364e-001
272	5.825030481389795e-001	5.888436553555889e-001
281	5.302075946783296e-001	5.370317963702527e-001
4309	5.132517075116853e-001	5.248074602497725e-001
5057	5.122657576828464e-001	5.128613839913648e-001
5085	4.848193691822373e-001	4.897788193684462e-001
7431	4.737496355723784e-001	4.786300923226383e-001
8506	4.623885826658045e-001	4.677351412871982e-001
10239	4.358081047860987e-001	4.365158322401660e-001
11679	4.177816579580379e-001	4.265795188015927e-001
12881	4.161728296540485e-001	4.168693834703354e-001
25617	4.011195457128088e-001	4.073802778041127e-001
33270	3.955420136941369e-001	3.981071705534973e-001
37119	3.755951734000872e-001	3.801893963205612e-001
47193	3.624038391324519e-001	3.630780547701014e-001
51613	3.436263548151216e-001	3.467368504525316e-001
69600	3.372446260241758e-001	3.388441561392026e-001
82576	3.167349143493912e-001	3.235936569296283e-001
95405	3.113529868842266e-001	3.162277660168379e-001
134509	3.073052809705111e-001	3.090295432513591e-001
325391	3.004953331227506e-001	3.019951720402016e-001
542384	2.944026518485726e-001	2.951209226666385e-001
829586	2.844392614296213e-001	2.884031503126606e-001
872614	2.783193262172213e-001	2.818382931264454e-001
1400287	2.748891839342584e-001	2.754228703338166e-001
3185622	2.684789358725104e-001	2.691534803926916e-001
4044767	2.620575516154654e-001	2.630267991895382e-001
4498184	2.533573633044316e-001	2.570395782768864e-001
5319948	2.388260955795503e-001	2.398832919019490e-001
10000000	2.347789526386969e-001	2.398832919019490e-001
%
% index = 1883, name = bbob_f006_i09_d10__bbob_f015_i10_d10
% instance = 4, reference value = 9.688566025981050e-001
% function evaluation | indicator value | target hit
1	1.605692836808605e+000	1.621810097358930e+000
2	9.171235959234794e-001	9.332543007969910e-001
9	6.871637370062649e-001	6.918309709189364e-001
17	3.620658673654006e-001	3.630780547701014e-001
62	3.500332072358098e-001	3.548133892335755e-001
81	2.915890794766722e-001	2.951209226666385e-001
110	2.756699578438739e-001	2.818382931264454e-001
189	2.625970034866613e-001	2.630267991895382e-001
537	2.230501251824802e-001	2.238721138568340e-001
1281	2.187033327879452e-001	2.187761623949552e-001
1414	2.130855461614416e-001	2.137962089502232e-001
1872	2.089255576221096e-001	2.089296130854039e-001
3169	1.964704871470794e-001	1.995262314968880e-001
3431	1.931034553053344e-001	1.949844599758046e-001
6887	1.892823261397300e-001	1.905460717963247e-001
11011	1.813230080547451e-001	1.819700858609984e-001
13035	1.778238888066527e-001	1.778279410038923e-001
