%
% index = 2189, name = bbob_f020_i21_d10__bbob_f021_i22_d10
% instance = 10, reference value = 9.801229264899430e-001
% function evaluation | indicator value | target hit
1	9.678598667205718e-001	9.772372209558107e-001
3	9.475834285639290e-001	9.549925860214360e-001
64	9.084939571019586e-001	9.120108393559098e-001
301	8.909815778401392e-001	8.912509381337456e-001
352	8.443503192642864e-001	8.511380382023764e-001
480	8.211991531575615e-001	8.317637711026710e-001
652	8.053376004792446e-001	8.128305161640993e-001
900	7.534730413960378e-001	7.585775750291838e-001
962	6.681422801333607e-001	6.760829753919818e-001
1035	6.204773097567305e-001	6.309573444801933e-001
1787	6.126263252946247e-001	6.165950018614822e-001
3566	6.019488199568026e-001	6.025595860743578e-001
3880	5.772338396032929e-001	5.888436553555889e-001
4416	5.601393940254801e-001	5.623413251903491e-001
7484	5.122323508897093e-001	5.128613839913648e-001
12548	4.651864450882465e-001	4.677351412871982e-001
17935	4.459895641885232e-001	4.466835921509632e-001
20660	4.063818341865121e-001	4.073802778041127e-001
21288	3.881176980560124e-001	3.890451449942806e-001
34084	3.663792133974388e-001	3.715352290971726e-001
56087	3.600496544028673e-001	3.630780547701014e-001
77297	3.042062939573030e-001	3.090295432513591e-001
84390	2.844130729260008e-001	2.884031503126606e-001
92038	2.743997022138570e-001	2.754228703338166e-001
97371	2.450401737209663e-001	2.454708915685031e-001
106417	2.121992902306124e-001	2.137962089502232e-001
187566	1.868628382824932e-001	1.905460717963247e-001
251801	1.834301101752521e-001	1.862087136662868e-001
408205	1.792825016397519e-001	1.819700858609984e-001
543389	1.757501612306818e-001	1.778279410038923e-001
1416191	1.676168191601033e-001	1.698243652461744e-001
1663995	1.645483914277268e-001	1.659586907437561e-001
1750412	1.561695481647444e-001	1.584893192461113e-001
1783377	1.530156060265792e-001	1.548816618912481e-001
1857004	1.485501465994017e-001	1.513561248436208e-001
2787836	1.470445824367715e-001	1.479108388168208e-001
3198973	1.434945926867218e-001	1.445439770745928e-001
3566695	1.398310415225326e-001	1.412537544622755e-001
4096039	1.217895377682823e-001	1.230268770812382e-001
4701264	1.166181308780535e-001	1.174897554939529e-001
6206496	1.144163983664712e-001	1.148153621496883e-001
6277916	9.988676506744720e-002	1.000000000000000e-001
7268536	9.643582381107874e-002	9.772372209558107e-002
8139630	9.105112569485008e-002	9.120108393559097e-002
10000000	9.105112569485008e-002	9.120108393559097e-002
%
% index = 2180, name = bbob_f020_i02_d10__bbob_f021_i04_d10
% instance = 1, reference value = 9.710209759892330e-001
% function evaluation | indicator value | target hit
1	4.596143028087826e+000	4.677351412871983e+000
4	4.531671326749603e+000	4.570881896148751e+000
14	2.550732144786924e+000	2.570395782768864e+000
21	2.066750242715070e+000	2.089296130854040e+000
43	1.953383686007734e+000	1.995262314968880e+000
53	1.918431579099972e+000	1.949844599758045e+000
64	1.559453268676132e+000	1.584893192461114e+000
100	9.362415090172099e-001	9.549925860214360e-001
1579	9.229317930624776e-001	9.332543007969910e-001
2669	9.079820186772422e-001	9.120108393559098e-001
6102	8.853486732753297e-001	8.912509381337456e-001
10178	8.671736508895607e-001	8.709635899560806e-001
11363	8.437762375379267e-001	8.511380382023764e-001
12520	7.341570788095693e-001	7.413102413009175e-001
14306	7.134646951087611e-001	7.244359600749900e-001
23464	4.851921695708539e-001	4.897788193684462e-001
27875	4.752803462921326e-001	4.786300923226383e-001
62170	4.594104887714466e-001	4.677351412871982e-001
82161	4.563958594137835e-001	4.570881896148750e-001
84279	4.181706709248446e-001	4.265795188015927e-001
86627	4.106466101551274e-001	4.168693834703354e-001
110713	3.950881433703896e-001	3.981071705534973e-001
136704	3.887862129557284e-001	3.890451449942806e-001
144118	3.713522580803423e-001	3.715352290971726e-001
172628	3.593786110504631e-001	3.630780547701014e-001
280252	3.456513578221665e-001	3.467368504525316e-001
621741	2.810788475650319e-001	2.818382931264454e-001
870087	2.753491801024663e-001	2.754228703338166e-001
1068002	2.637617028187976e-001	2.691534803926916e-001
1176288	2.553193072886685e-001	2.570395782768864e-001
1191711	2.427363431278852e-001	2.454708915685031e-001
1242089	2.376543457529292e-001	2.398832919019490e-001
1318821	2.295273259074265e-001	2.344228815319922e-001
1492039	2.258194391300922e-001	2.290867652767773e-001
1963570	2.212513810003939e-001	2.238721138568340e-001
2246559	2.080415222376495e-001	2.089296130854039e-001
2471394	1.980737210270460e-001	1.995262314968880e-001
2982183	1.907462674453048e-001	1.949844599758046e-001
2982275	1.859698769181279e-001	1.862087136662868e-001
4255453	1.755816872833801e-001	1.778279410038923e-001
4923192	1.690521244968213e-001	1.698243652461744e-001
5057731	1.466753364016514e-001	1.479108388168208e-001
8467880	1.381731718473093e-001	1.412537544622755e-001
9221855	1.307448495702024e-001	1.318256738556407e-001
9830647	1.253240008082305e-001	1.258925411794167e-001
10000000	1.253240008082305e-001	1.258925411794167e-001
%
% index = 2181, name = bbob_f020_i03_d10__bbob_f021_i05_d10
% instance = 2, reference value = 9.790181619552990e-001
% function evaluation | indicator value | target hit
1	1.003053017705299e+000	1.023292992280754e+000
7	9.737338739732766e-001	9.772372209558107e-001
11	9.486438798041377e-001	9.549925860214360e-001
21	9.305150186835977e-001	9.332543007969910e-001
43	9.112961152321849e-001	9.120108393559098e-001
92	7.101403418825855e-001	7.244359600749900e-001
119	6.638303994302606e-001	6.760829753919818e-001
160	6.370325852607672e-001	6.456542290346555e-001
491	6.309557207805883e-001	6.309573444801933e-001
900	6.015354312441629e-001	6.025595860743578e-001
924	5.798217196674442e-001	5.888436553555889e-001
