%
% index = 3159, name = bbob_f014_i21_d40__bbob_f014_i22_d40
% instance = 10, reference value = 9.533585604725070e-001
% function evaluation | indicator value | target hit
1	2.966462821814007e+000	3.019951720402016e+000
6	2.294792694810949e+000	2.344228815319922e+000
8	2.215448238639007e+000	2.238721138568339e+000
13	1.757324261562181e+000	1.778279410038923e+000
21	1.715871428539699e+000	1.737800828749375e+000
39	1.391495062866507e+000	1.412537544622754e+000
44	1.251096466289100e+000	1.258925411794167e+000
50	1.035275025580007e+000	1.047128548050900e+000
122	9.717497508900070e-001	9.772372209558107e-001
137	8.768445356510810e-001	8.912509381337456e-001
1433	8.562967230683085e-001	8.709635899560806e-001
1574	8.465948710042851e-001	8.511380382023764e-001
6570	8.314749634283464e-001	8.317637711026710e-001
15349	8.034648254472185e-001	8.128305161640993e-001
18161	7.868204539994184e-001	7.943282347242815e-001
22108	7.522550315363170e-001	7.585775750291838e-001
23086	7.360955508872994e-001	7.413102413009175e-001
27715	7.234577238952634e-001	7.244359600749900e-001
52784	7.075997060753260e-001	7.079457843841379e-001
85321	6.354934579870739e-001	6.456542290346555e-001
107372	6.232973265297312e-001	6.309573444801933e-001
189046	6.074649931451341e-001	6.165950018614822e-001
254870	6.009318279851967e-001	6.025595860743578e-001
295211	5.796699574680294e-001	5.888436553555889e-001
333080	5.603533239048156e-001	5.623413251903491e-001
336898	5.447865635289824e-001	5.495408738576245e-001
351906	5.214913616497674e-001	5.248074602497725e-001
657614	5.122386199217994e-001	5.128613839913648e-001
1860146	4.927513010796343e-001	5.011872336272722e-001
2733061	4.826578483393073e-001	4.897788193684462e-001
3917230	4.785558459784928e-001	4.786300923226383e-001
5388355	4.475283819033940e-001	4.570881896148750e-001
12027744	4.459997012090340e-001	4.466835921509632e-001
18483037	4.363919010552773e-001	4.365158322401660e-001
32709539	4.252529712454118e-001	4.265795188015927e-001
40000000	4.221436869025982e-001	4.265795188015927e-001
%
% index = 3150, name = bbob_f014_i02_d40__bbob_f014_i04_d40
% instance = 1, reference value = 9.651605515724850e-001
% function evaluation | indicator value | target hit
1	2.025109745728985e+000	2.041737944669529e+000
3	1.812328964173424e+000	1.819700858609983e+000
4	1.107617651486485e+000	1.122018454301963e+000
6	1.005430453144985e+000	1.023292992280754e+000
12	8.620787663742116e-001	8.709635899560806e-001
26	8.378762608439980e-001	8.511380382023764e-001
33	7.747793934593608e-001	7.762471166286917e-001
51	7.211409735194975e-001	7.244359600749900e-001
177	6.997627102916755e-001	7.079457843841379e-001
201	6.443328175104495e-001	6.456542290346555e-001
1037	5.618669383190892e-001	5.623413251903491e-001
1508	5.290841154761707e-001	5.370317963702527e-001
2311	5.116616809517022e-001	5.128613839913648e-001
5909	4.967045567326624e-001	5.011872336272722e-001
15238	4.897411671986093e-001	4.897788193684462e-001
41801	4.751123759220077e-001	4.786300923226383e-001
50969	4.665573976951555e-001	4.677351412871982e-001
132627	4.544805542917262e-001	4.570881896148750e-001
153430	4.450584544192274e-001	4.466835921509632e-001
177868	4.354759833746376e-001	4.365158322401660e-001
276504	4.250093078965535e-001	4.265795188015927e-001
436176	4.160426173620272e-001	4.168693834703354e-001
695983	4.060123473369340e-001	4.073802778041127e-001
857596	3.959768828919639e-001	3.981071705534973e-001
1482978	3.837526595344907e-001	3.890451449942806e-001
1583401	3.795676739266727e-001	3.801893963205612e-001
2555040	3.709678571078738e-001	3.715352290971726e-001
3545888	3.614599176956858e-001	3.630780547701014e-001
7263738	3.543246542686960e-001	3.548133892335755e-001
10171404	3.442937729539821e-001	3.467368504525316e-001
11075182	3.368018466677097e-001	3.388441561392026e-001
14042568	3.286338049367049e-001	3.311311214825911e-001
19798844	3.177052548181156e-001	3.235936569296283e-001
20120563	3.094078169065458e-001	3.162277660168379e-001
26495704	3.089215155575859e-001	3.090295432513591e-001
31550470	3.006649661226922e-001	3.019951720402016e-001
40000000	2.987272723716359e-001	3.019951720402016e-001
%
