%
% index = 2069, name = bbob_f014_i21_d10__bbob_f015_i22_d10
% instance = 10, reference value = 9.463467322589080e-001
% function evaluation | indicator value | target hit
1	3.182308707350908e+000	3.235936569296283e+000
4	2.047975811077908e+000	2.089296130854040e+000
5	1.825159794293908e+000	1.862087136662868e+000
7	1.417870027986408e+000	1.445439770745927e+000
11	6.634746943802626e-001	6.760829753919818e-001
12	6.564706374987590e-001	6.606934480075960e-001
13	5.573912167548364e-001	5.623413251903491e-001
14	4.329585464565968e-001	4.365158322401660e-001
29	4.152307960789140e-001	4.168693834703354e-001
99	3.873937020859553e-001	3.890451449942806e-001
122	3.716569182945710e-001	3.801893963205612e-001
136	3.618446577238463e-001	3.630780547701014e-001
155	3.531650349882489e-001	3.548133892335755e-001
164	3.393522645393222e-001	3.467368504525316e-001
172	3.364305096535885e-001	3.388441561392026e-001
239	2.981815921897909e-001	3.019951720402016e-001
308	2.883792792779221e-001	2.884031503126606e-001
492	2.691191224312115e-001	2.691534803926916e-001
545	2.367446989575442e-001	2.398832919019490e-001
601	2.146079520226496e-001	2.187761623949552e-001
722	2.042203541498254e-001	2.089296130854039e-001
1126	2.030697437582488e-001	2.041737944669530e-001
1262	1.994314988418371e-001	1.995262314968880e-001
1902	1.905775321555574e-001	1.949844599758046e-001
1941	1.904765842918562e-001	1.905460717963247e-001
2572	1.763425804683513e-001	1.778279410038923e-001
2810	1.652643965001637e-001	1.659586907437561e-001
5840	1.558797598222785e-001	1.584893192461113e-001
5880	1.545867450691517e-001	1.548816618912481e-001
6349	1.511380575528072e-001	1.513561248436208e-001
11766	1.436458751959228e-001	1.445439770745928e-001
15037	1.407524510959344e-001	1.412537544622755e-001
19179	1.377754352049098e-001	1.380384264602885e-001
23287	1.336588745228543e-001	1.348962882591654e-001
28592	1.312483187249521e-001	1.318256738556407e-001
39522	1.276250245655110e-001	1.288249551693134e-001
51980	1.242776426973414e-001	1.258925411794167e-001
66852	1.208609534061531e-001	1.230268770812382e-001
69379	1.198958275429066e-001	1.202264434617413e-001
97118	1.174527050925994e-001	1.174897554939529e-001
98869	1.110563716150952e-001	1.122018454301964e-001
103093	9.915258034667540e-002	1.000000000000000e-001
118065	9.768490910146155e-002	9.772372209558107e-002
133130	9.475689135961340e-002	9.549925860214359e-002
177460	9.256711542282903e-002	9.332543007969910e-002
283932	9.081132696452088e-002	9.120108393559097e-002
400036	8.819610397000788e-002	8.912509381337455e-002
431197	8.397169081811440e-002	8.511380382023763e-002
554354	8.295133778944797e-002	8.317637711026708e-002
608353	8.081980835634939e-002	8.128305161640990e-002
656075	7.939146555222432e-002	7.943282347242814e-002
787675	7.706933515286452e-002	7.762471166286916e-002
960749	7.585021371227863e-002	7.585775750291836e-002
1668910	7.296084564269767e-002	7.413102413009177e-002
2048488	7.243911667061409e-002	7.244359600749903e-002
2905495	7.044321227142969e-002	7.079457843841380e-002
3432498	6.883193070826121e-002	6.918309709189366e-002
3980385	6.747118382841799e-002	6.760829753919818e-002
4161038	6.568478651833631e-002	6.606934480075961e-002
5952683	6.443088690860044e-002	6.456542290346556e-002
6914056	6.303436114155858e-002	6.309573444801933e-002
8893695	6.148902175603399e-002	6.165950018614822e-002
10000000	6.070260799170191e-002	6.165950018614822e-002
%
% index = 2060, name = bbob_f014_i02_d10__bbob_f015_i04_d10
% instance = 1, reference value = 9.431283127177710e-001
% function evaluation | indicator value | target hit
1	1.030491083996271e+000	1.047128548050900e+000
3	1.007233568099771e+000	1.023292992280754e+000
6	9.951213943867709e-001	1.000000000000000e+000
14	8.790032432666886e-001	8.912509381337456e-001
15	6.181103492371163e-001	6.309573444801933e-001
16	5.238164579961396e-001	5.248074602497725e-001
74	4.835032705055474e-001	4.897788193684462e-001
163	4.009832059133225e-001	4.073802778041127e-001
179	3.975611446950422e-001	3.981071705534973e-001
231	3.889332603310362e-001	3.890451449942806e-001
303	3.734696418081394e-001	3.801893963205612e-001
346	3.699235806545619e-001	3.715352290971726e-001
417	3.360063626523193e-001	3.388441561392026e-001
449	3.162342614950308e-001	3.235936569296283e-001
492	3.153982405900665e-001	3.162277660168379e-001
662	3.000566290427749e-001	3.019951720402016e-001
1149	2.847286450893432e-001	2.884031503126606e-001
1192	2.800243957563043e-001	2.818382931264454e-001
1898	2.536511674480061e-001	2.570395782768864e-001
2760	2.457384674857860e-001	2.511886431509580e-001
3734	2.435553437761127e-001	2.454708915685031e-001
4577	2.394041195192798e-001	2.398832919019490e-001
19134	2.330956725943663e-001	2.344228815319922e-001
20865	2.260091991703939e-001	2.290867652767773e-001
21916	2.225736583789646e-001	2.238721138568340e-001
